Name,FA_Season,ProjYears,ProjAAV,ProjTotal,Years,AAV,Total
Bryce Harper,2019,10,43559290.821296185,435592908.21296185,13,25384615,329999995
Manny Machado,2019,10,26036890.15737685,260368901.5737685,10,30000000,300000000
Freddie Freeman,2022,7,36211695.02219944,253481865.15539604,6,27000000,162000000
Carlos Correa,2022,8,31077882.82395827,248623062.59166616,3,35100000,105300000
Robinson Cano,2014,11,21118755.34266422,232306308.76930642,10,24000000,240000000
Jason Heyward,2016,9,23354350.11594781,210189151.0435303,8,23000000,184000000
Anthony Rendon,2020,4,36307730.01604727,145230920.06418908,7,35000000,245000000
J.D. Martinez,2018,4,34879235.49399034,139516941.97596136,5,22000000,110000000
Yasmani Grandal,2019,6,22568335.738715477,135410014.43229288,1,18250000,18250000
George Springer,2021,4,33195243.37914363,132780973.51657452,6,25000000,150000000
Marcus Semien,2021,5,24075228.556555375,120376142.78277688,1,18000000,18000000
Corey Seager,2022,5,23459992.310699005,117299961.55349502,10,32500000,325000000
Russell Martin,2015,7,16753880.154380389,117277161.08066273,5,16400000,82000000
Justin Turner,2017,6,19281622.65873482,115689735.95240892,4,16000000,64000000
Yoenis Cespedes,2016,4,25857464.4489764,103429857.7959056,3,25000000,75000000
Josh Donaldson,2019,4,24936382.8627355,99745531.450942,1,23000000,23000000
Marcus Semien,2022,5,19568117.0475263,97840585.2376315,7,25000000,175000000
Justin Upton,2016,5,18051288.288771156,90256441.44385578,6,22125000,132750000
Shin-Soo Choo,2014,4,19915502.070378076,79662008.2815123,7,18571429,130000003
J.T. Realmuto,2021,4,18961644.77594139,75846579.10376556,5,23100000,115500000
Yoenis Cespedes,2017,3,23039746.614513144,69119239.84353943,4,27500000,110000000
Lorenzo Cain,2018,5,13448332.075623255,67241660.37811628,5,16000000,80000000
Brian McCann,2014,4,15993151.653332911,63972606.613331646,5,17000000,85000000
Starling Marte,2022,3,19968176.816477142,59904530.44943143,4,19500000,78000000
DJ LeMahieu,2019,4,14246526.369955214,56986105.479820855,2,12000000,24000000
Dexter Fowler,2017,4,14179409.36809514,56717637.47238056,5,16500000,82500000
Edwin Encarnacion,2017,3,17821239.08685678,53463717.26057033,3,20000000,60000000
Yasmani Grandal,2020,3,17469437.96592777,52408313.89778331,4,18250000,73000000
Carlos Santana,2018,3,17283465.882763874,51850397.64829162,3,20000000,60000000
DJ LeMahieu,2021,4,12837211.75573615,51348847.0229446,6,15000000,90000000
Pablo Sandoval,2015,4,12435739.89270487,49742959.57081948,5,19000000,95000000
Michael Brantley,2019,3,16349612.169819064,49048836.50945719,2,16000000,32000000
Daniel Murphy,2016,4,12254641.1151809,49018564.4607236,3,12500000,37500000
Kyle Schwarber,2022,3,16062923.562645692,48188770.68793708,4,19750000,79000000
Colby Rasmus,2015,4,11980551.239852156,47922204.959408626,1,8000000,8000000
Chris Davis,2016,3,15453446.565653129,46360339.696959384,7,23000000,161000000
Eric Hosmer,2018,4,10748025.131918669,42992100.527674675,7,20571429,144000003
Jhonny Peralta,2014,4,10465609.68708053,41862438.74832212,4,13250000,53000000
Ian Desmond,2016,4,10158308.546952864,40633234.18781146,1,8000000,8000000
Dexter Fowler,2016,3,13499266.465347577,40497799.396042734,1,13000000,13000000
Chris Taylor,2022,3,13256907.68587789,39770723.05763367,4,15000000,60000000
Nelson Cruz,2015,3,13173210.590217058,39519631.77065118,4,14250000,57000000
Andrew McCutchen,2019,2,19488102.09530322,38976204.19060644,3,16666666,49999998
Josh Reddick,2017,3,12664093.682866467,37992281.0485994,4,13000000,52000000
Brian Dozier,2019,3,12576661.87623306,37729985.62869918,1,9000000,9000000
Chase Headley,2015,4,9203331.504164556,36813326.016658224,4,13000000,52000000
Alex Gordon,2016,3,12253535.805427449,36760607.41628235,4,18000000,72000000
Jacoby Ellsbury,2014,3,12100010.753498092,36300032.26049428,7,21857143,153000001
Nick Castellanos,2020,3,12022733.563886458,36068200.691659376,4,16000000,64000000
Todd Frazier,2018,3,11848443.794027602,35545331.382082805,2,8500000,17000000
Marcell Ozuna,2020,2,17713698.030423593,35427396.060847186,1,18000000,18000000
